score,years,reason,url,flags
100,0,"The JD is for an 'Entry Level AWS Programmer', which does not require more than 3 years experience. The location is 'Houston, TX, USA', which is not outside the USA. There are no mentions of sponsorship, clearance, or US Citizen only requirements. The JD requests skills in AWS, Python, and SQL. The candidate possesses all three of these skills. Therefore, the score is (3 matching skills / 3 total requested skills) * 100 = 100.",https://www.careers-page.com/m-d-mechanical-contractors/job/W36V9849, | Flags: Clean ✅
100,0,"The JD is for an 'Ecosystem Intern' and does not specify a minimum experience requirement greater than 3 years. The location is USA, and there are no explicit statements regarding sponsorship, clearance, or US citizenship. The JD explicitly requests SQL (from 'SQL Explorer') and implicitly Git (from 'repo' and 'open-source demo applications'). The candidate possesses both SQL and Git. Therefore, (2 matching skills / 2 total requested skills) * 100 = 100.",https://jobs.ashbyhq.com/quicknode/714e55dc-1d5a-4089-8840-521914cd1186, | Flags: Clean ✅
100,0,"The JD explicitly requires Python, SQL, a cloud platform (e.g., AWS implied by 'cloud-based data platform' and 'cloud environments'), a distributed processing framework (e.g., Spark implied by 'modern distributed processing frameworks', 'distributed compute engines', and 'large-scale data processing frameworks'), and version control (e.g., Git implied by 'CI/CD and DevOps practices'). The candidate possesses all 5 of these skills: Python, SQL, AWS, Spark, and Git. Therefore, the score is (5/5) * 100 = 100.",https://jobs.crelate.com/portal/iqclarity/job/a1zjht49n6sfkmn7m56n7r73dw, | Flags: Clean ✅
100,0,"The JD explicitly requests 4 categories of tech skills: Python, cloud experience, database exposure, and distributed systems exposure. The candidate possesses Python, AWS (matching cloud), SQL and MongoDB (matching databases), and Spark (matching distributed systems). Therefore, 4 out of 4 requested tech skill categories are matched, resulting in a score of (4/4)*100 = 100.",https://careers.teksystems.com/us/en/job/JP-005904460/Full-Stack-Developer, | Flags: Clean ✅
75,0,"The selected job 'Python ML/NLP Engineer for FastAPI NLP Pipelines' lists 4 required skills: Python, API Development, Machine Learning, and Natural Language Processing. The candidate matches 3 of these: Python, Machine Learning (covered by PyTorch, TensorFlow, Scikit-Learn), and Natural Language Processing (covered by NLP, LLMs, RAG). API Development is not matched. Score = (3 matching skills / 4 total requested skills) * 100 = 75.",https://www.truelancer.com/freelance-python-jobs, | Flags: Clean ✅
67,3,"The JD specifies an 'entry-level' and 'early-career' role, indicating a maximum of 3 years experience, which matches the candidate's profile. The location is explicitly within the US, and there are no restrictions on sponsorship or citizenship mentioned. Therefore, no knockout rules are triggered. The JD explicitly mentions foundational experience in Python, AWS, and React. The candidate possesses Python and AWS, matching 2 out of these 3 skills. Score = (2 / 3) * 100 = 67.",https://jobs.insightpartners.com/companies/marigold-2/jobs/71243277-associate-software-engineer, | Flags: Clean ✅
56,0,"The JD for 'Data Scientist Measurement Framework Developer' does not specify a minimum experience requirement (thus 0 years required for the knockout rule), is located in the United States, and does not mention sponsorship restrictions. The JD requests 9 distinct technical skills (Python, SQL, Scala, Azure, Databricks, GCP, Git, AWS, Scikit-Learn). The candidate possesses 5 of these skills (Python, SQL, Git, AWS, Scikit-Learn). Therefore, the score is (5/9)*100 = 55.55, rounded to 56.",https://www.datafreelancehub.com/jobs/data-scientist-gez3, | Flags: Clean ✅
50,3,"The JD states 'A minimum of 3 years of progressive experience', so 'years_required' is 3. The location 'Paramus, New Jersey' is in the USA, so 'location_flagged' is false. No explicit mention of 'no sponsorship', 'requires clearance', or 'US Citizen only' was found, so 'sponsorship_flagged' is false. The JD explicitly requests expertise in SQL, Python, Power BI, and Looker (4 total requested tech skills). The candidate possesses Python and SQL (2 matching tech skills). Score = (2 / 4) * 100 = 50.",https://jobs.veolia.com/en/job/paramus/business-intelligence-engineer/3091/36320114880, | Flags: Clean ✅
40,2,"The JD requires a minimum of 2 years experience, which does not exceed the candidate's maximum of 3 years. The location is 'United States (Remote)', which is not outside the USA. The JD asks about sponsorship but does not explicitly state 'no sponsorship', 'requires clearance', or 'US Citizen only'. Therefore, no knockout rules are triggered. The JD requests 5 unique tech skills: Python, SQL, R, Northfield, and Advanced Excel. The candidate possesses 2 of these skills (Python, SQL). Score = (2 / 5) * 100 = 40.",https://job-boards.greenhouse.io/vestmark/jobs/7722505, | Flags: Clean ✅
33,0,"The JD is for a 'Data Science Intern' and requires 'Currently studying for a BS...', implying 0 years of professional experience. This does not trigger the 'MORE than 3 years minimum' knockout rule. The location 'Boston, Massachusetts' is in the USA, so location is not flagged. No sponsorship or citizenship requirements are stated, so sponsorship is not flagged. The JD explicitly requests 'Proficiency in Python is required' and 'Knowledge of Power BI and Tableau is preferred'. The candidate has Python, which is 1 matching tech skill. The total requested tech skills are Python, Power BI, and Tableau (3 skills). Score = (1 matching skill / 3 requested skills) * 100 = 33.",https://jobs.veolia.com/en/job/boston/data-science-intern/3091/36294008896, | Flags: Clean ✅
30,0,"Matching Tech Skills (Python, SQL, MongoDB) / Total Requested Tech Skills (Java, Python, HTML, CSS, JavaScript frameworks, MySQL, PostgreSQL, MongoDB, RESTful APIs, Fenergo) = 3/10 = 30.",https://jobs.insightglobal.com/jobs/find_a_job/new-york/new-york/intl-java-python-developer/job-508588/, | Flags: Clean ✅
25,0,"3 out of 12 candidate skills (Python, LLMs, NLP) match the job description. Python is explicitly mentioned. LLMs and NLP are strongly implied by the JD's focus on 'AI platform for banking', 'creating the models and agents', and 'Banking-Reasoning Models'. Other candidate skills are not explicitly mentioned or strongly implied. (3/12)*100 = 25.",https://jobs.ashbyhq.com/nova-talent/d6228032-4f03-4ce3-a97c-a53aec4ccf50, | Flags: Clean ✅
17,2,"The JD requires '2–4+ years' experience, so the minimum is 2 years. The candidate has MAX 3 years, which meets the minimum requirement. Location is 'United States/Remote', so not flagged. Sponsorship is not explicitly denied, as the JD asks about it. Therefore, no knockout rules are triggered. The candidate has 12 skills. The JD mentions 'Python' (for scripting) and 'LLMs' (via 'OpenAI, Claude' for AI workflows). This results in 2 matching skills. Score = (2 matching skills / 12 total candidate skills) * 100 = 16.66..., rounded to 17.",https://job-boards.greenhouse.io/underdogfantasy/jobs/4675205005, | Flags: Clean ✅
17,2,"Calculated score based on 2 matching tech skills (Python, MongoDB) out of 12 requested skills (Python, SQL, LLMs, RAG, NLP, PyTorch, TensorFlow, AWS, Spark, Scikit-Learn, Git, MongoDB).",https://careers.playstation.com/quality-assurance-engineer/job/5832489004, | Flags: Clean ✅
15,2,"The JD requires 2 years of experience, which is within the candidate's maximum of 3 years. The location is in the United States, and no sponsorship or clearance restrictions are explicitly stated. The JD lists 13 relevant tech skills (Python, C++, JavaScript, MongoDB, Redis, Windows, Linux, Microsoft Visual Studio, Windows SDK, PlayStation SDK, Jira, Cygwin, DCX). The candidate possesses 2 of these skills (Python, MongoDB). Therefore, the score is (2 / 13) * 100 = 15.",https://job-boards.greenhouse.io/naughtydog/jobs/5832489004, | Flags: Clean ✅
11,0,"The JD does not specify a minimum number of years of experience. The location is 'United States' and there are no sponsorship/status restrictions mentioned, so no knockout rules are triggered. The JD explicitly mentions 'Knowledge of programming languages (e.g., Java, Python) is a plus.' and lists examples of automated testing tools (Selenium, JUnit, TestNG), bug tracking tools (JIRA, Bugzilla), and performance testing tools (LoadRunner, JMeter). Counting these specific technologies, there are 9 requested tech skills (Python, Java, Selenium, JUnit, TestNG, JIRA, Bugzilla, LoadRunner, JMeter). The candidate possesses Python (1 match). Score = (1 matching skill / 9 total requested skills) * 100 = 11.11, rounded to 11.",https://jobs.lever.co/getwingapp/9c495194-7468-46da-a429-de630f9c430b, | Flags: Clean ✅
10,1,"The JD requires 1 year of experience, which is not more than the candidate's maximum 3 years. The location (Lehi, UT) is in the USA. The JD does not explicitly state 'no sponsorship', 'requires clearance', or 'US Citizen only'. Therefore, no knockout rules are triggered. The JD requests 10 specific tech skills (API, SFTP, Datadog, Kibana, Zapier, Tray.io, Jira, Postman, Command line scripts, SQL). The candidate possesses 1 of these skills (SQL). Score = (1 / 10) * 100 = 10.",https://job-boards.greenhouse.io/podium81/jobs/7736740, | Flags: Clean ✅
0,3,Knocked out because the job location (Israel) is explicitly outside the USA.,https://remotive.com/remote/jobs/ai-ml/data-scientist-4086915, | Flags: 📍 Non-US
0,2,"Location knockout triggered: JD explicitly lists locations outside USA (Montreal, Canada, Remote - Canada).",https://job-boards.greenhouse.io/torcrobotics/jobs/8449457002, | Flags: 📍 Non-US
0,3,"Knockout rule triggered: JD states 'US Citizenship and an active Secret security clearance required', which flags 'requires clearance' and 'US Citizen only'.",https://job-boards.greenhouse.io/darkwolfsolutions/jobs/7672377003, | Flags: 🛂 Visa/Clearance
0,4,"The JD requires a minimum of 4 years of experience for a Bachelor's degree, which exceeds the candidate's maximum of 3 years. Additionally, the job location explicitly includes Canada, which is outside the USA, triggering a knockout rule.",https://job-boards.greenhouse.io/torcrobotics/jobs/8467755002," | Flags: 📍 Non-US, ⏱️ Exp High"
0,0,"Location is explicitly Lisbon, Portugal, which is outside the USA, triggering a knockout rule.",https://jobs.accel.com/companies/gocardless/jobs/71145230-growth-commercial-analyst, | Flags: 📍 Non-US
0,2,"The job description explicitly lists 'Montreal, Canada' and 'Remote - Canada' as locations, which triggers the knockout rule for locations explicitly outside the USA.",https://job-boards.greenhouse.io/torcrobotics/jobs/8467681002, | Flags: 📍 Non-US
0,3,"The score is 0 because the job requires eligibility to obtain and maintain a U.S. security clearance, which is a knockout condition.",https://job-boards.greenhouse.io/andurilindustries/jobs/5079884007, | Flags: 🛂 Visa/Clearance
0,2,"Knockout rule triggered: Location (JD lists Montreal, Canada and Remote - Canada, which are explicitly outside USA). The experience requirement (minimum 2 years with a Master's) does not trigger the 'requires MORE than 3 years minimum' knockout. The sponsorship rule is not triggered. If not for the knockout, the score would be (2 matching tech skills / 2 requested tech skills) * 100 = 100 (Python, PyTorch).",https://job-boards.greenhouse.io/torcrobotics/jobs/8449463002, | Flags: 📍 Non-US
0,1,"The job description explicitly states 'No sponsorship is available for this position', which is a knockout rule.",https://job-boards.greenhouse.io/campusopportunities/jobs/8459137002, | Flags: 🛂 Visa/Clearance
0,7,"The job requires a minimum of 7+ years of experience, which violates the knockout rule for candidates with MAX 3 years experience.",https://remotive.com/remote/jobs/ai-ml/ai-transformation-consultant-4087275, | Flags: ⏱️ Exp High
0,5,"The job requires a minimum of 5+ years of experience, which is more than the candidate's maximum of 3 years. Additionally, a TS/SCI clearance is required, which is a knockout criterion.",https://careers.boozallen.com/jobs/JobDetail/Washington-Data-Scientist-R0236207/122119," | Flags: 🛂 Visa/Clearance, ⏱️ Exp High"
0,0,"Sponsorship requirement 'without Sponsorship' was flagged, resulting in a score of 0.",https://jobs.lever.co/bellese/c183c7b1-72f7-4d62-b8c6-5abb65068dc9, | Flags: 🛂 Visa/Clearance
0,2,"The job description explicitly states a requirement for ""TS/SCI clearance"", which triggers the 'requires clearance' knockout rule.",https://careers.viva-it.com/careers/opportunities/job-detail/data-scientist-developer-RKMSD192, | Flags: 🛂 Visa/Clearance
0,3,"Location is explicitly outside USA (Bezons, FR), which is a knockout rule.",https://jobs.atos.net/job/Bezons-Ing%C3%A9nieur-Data-%28FH%29/1375619733/, | Flags: 📍 Non-US
0,1,"Knockout rule met: Location is explicitly outside USA (India). Therefore, the score is 0.",https://jobs.weekday.works/ai-ml-engineer-at-casepoint-4383114101, | Flags: 📍 Non-US
0,2,Sponsorship knockout rule was triggered because the job description explicitly states 'this position is not eligible for employment visa sponsorship'.,https://job-boards.greenhouse.io/gallup/jobs/4186147009, | Flags: 🛂 Visa/Clearance
0,3,"Score is 0 because U.S. citizenship is required, which triggers the sponsorship/status knockout rule.",https://careers.boozallen.com/careers/JobDetail/McLean-Data-Conversion-Developer-R0235863/122170, | Flags: 🛂 Visa/Clearance
0,3,"Sponsorship knockout: The JD explicitly states 'visa sponsorship is not available for this role'. If not for the knockout, the score would be calculated as (4 matching skills / 15 total requested skills) * 100 = 27. Matching skills: Python, LLMs, RAG, AWS. Total requested skills from JD: Python, Django, Celery, PostgreSQL, Redis, FHIR R4, HL7 v2, Epic App Orchard, Cerner SMART on FHIR, AWS, GitHub Actions, Terraform, LLMs, RAG, Docker.",https://job-boards.greenhouse.io/avomdincdbaavo/jobs/4188130009, | Flags: 🛂 Visa/Clearance
0,6,"The job explicitly requires ""6+ years"" of experience, which is more than the candidate's maximum of 3 years. This triggers a knockout rule, resulting in a score of 0.",https://jobs.notablecap.com/companies/neon-2-fafc7050-f6c0-4a38-9c9c-e8dc0b61e31c/jobs/71315295-sr-solutions-architect-bi-and-analytics, | Flags: ⏱️ Exp High
0,2,"The job description explicitly lists locations outside the USA (Montreal, Canada, Remote - Canada), which triggers the 'Location: Explicitly outside USA' knockout rule, resulting in a score of 0.",https://job-boards.greenhouse.io/torcrobotics/jobs/8467743002, | Flags: 📍 Non-US
0,0,"Location explicitly outside USA (KwaZulu-Natal, South Africa) triggers knockout rule.",https://jobs.workable.com/view/rkwsgrwWnCcLBbByPkwy5i/python-%2F-ml-developer---remote-(est-hours)-in-kwazulu-natal-at-ista-personnel-solutions, | Flags: 📍 Non-US
0,2,"The job explicitly lists locations outside the USA (Montreal, Canada, Remote - Canada), which triggers a knockout rule. Therefore, the score is 0.",https://job-boards.greenhouse.io/torcrobotics/jobs/8449459002, | Flags: 📍 Non-US
0,3,"Sponsorship/Status: The job description states 'Clearance Required: Ability to Obtain Secret' and 'Must be able to OBTAIN and MAINTAIN a Federal or DoD 'SECRET' security clearance'. This explicitly triggers the knockout rule 'requires clearance', resulting in a score of 0.",https://www.workingnomads.com/jobs/rpa-back-end-developer-guidehouse-1486860, | Flags: 🛂 Visa/Clearance
0,3,"Location (France) is explicitly outside USA, triggering a knockout rule and resulting in a score of 0.",https://jobs.lever.co/mistral/a228ac73-62f1-4a2a-8afe-5070f445143f, | Flags: 📍 Non-US
0,0,"Location knockout: The job is explicitly located in Khobar City, Saudi Arabia, which is outside the USA.",https://careers.octave.com/job/Implementation-Consultant/1238-en_US?src=LinkedIn, | Flags: 📍 Non-US
0,4,"The job requires '4+ years’ experience', which is more than the candidate's maximum of 3 years. Additionally, the job location is 'Canada : Ontario : Toronto', which is explicitly outside the USA. Both conditions trigger a knockout, resulting in a score of 0.",https://jobs.scotiabank.com/job/Toronto-Software-Engineer-with-Python%2C-Scala-and-Spark-ON-M5H-1H1/600800517/," | Flags: 📍 Non-US, ⏱️ Exp High"
0,2,"The job requires an active Secret clearance or the ability to obtain one, which triggers a knockout rule.",https://tietalent.com/en/jobs/p-605926770/united-states-data-engineer-6458, | Flags: 🛂 Visa/Clearance
0,2,"The job location 'Gurgaon, India' is explicitly outside the USA, which is a knockout rule, resulting in a score of 0.",https://careers.spglobal.com/jobs/325894?lang=en-us, | Flags: 📍 Non-US
0,5,"The job description requires '5+ years of hands-on data science experience', which is more than the candidate's maximum of 3 years. Additionally, the job location is 'Tel Aviv', which is explicitly outside the USA. Both conditions trigger knockout rules, resulting in a score of 0.",https://recruiterflow.com/insphire/jobs/1430?widget=1," | Flags: 📍 Non-US, ⏱️ Exp High"
0,5,"Knockout rule triggered: Experience (JD requires 5+ years minimum, candidate has max 3 years) and Sponsorship/Status (JD requires TS/SCI clearance).",https://careers.boozallen.com/careers/JobDetail/Washington-Data-Scientist-R0236207/122119," | Flags: 🛂 Visa/Clearance, ⏱️ Exp High"
