score,job_title,company,location,visa_status,posted,apply_link,rejection_reason
0,AI Full-Stack Engineer for Prototyping,Mercor,"San Francisco, CA",Not Evaluated,17 hours ago,"https://www.ziprecruiter.com/c/Mercor/Job/AI-Full-Stack-Engineer-for-Prototyping/-in-San-Francisco,CA?jid=df74a5479bbd90a7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
0,"Senior Data Engineer (PostgreSQL, Python, Azure)",Career Developers,"Reston, VA",Not Evaluated,21 hours ago,https://www.simplyhired.com/job/8etSaLamVVXkWTAJUKruUtB6v71Ji_8Ro-NH_Cg6Fo5qgxQomAz7fg?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Senior title: 'senior data engineer (postgresql, python, azure)'"
0,Backend AI-Forward Data Engineer,Greystar,"Fort Worth, TX",Not Evaluated,21 hours ago,https://www.linkedin.com/jobs/view/backend-ai-forward-data-engineer-at-greystar-4386153027?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'emea'
0,Senior/Lead Software Data Engineer (Roads Team),Mapbox,"Poland, OH",Not Evaluated,17 hours ago,https://jobs.foundry.vc/companies/mapbox/jobs/71572938-senior-lead-software-data-engineer-roads-team?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'poland'
0,Senior Data Engineer - Consulting Role,EY,"Las Vegas, NV",Not Evaluated,14 hours ago,https://jobs.stevenagefc.com/jobs/senior-data-engineer-consulting-role-las-vegas-nevada/2678997212-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior data engineer - consulting role'
0,Data Engineer - Spark Developer - Full-time,EUROPEAN DYNAMICS,"Sharpsburg, OH",Not Evaluated,13 hours ago,https://www.snagajob.com/jobs/1066913475?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'london'
0,"Data Engineer, Product Analytics - Full-time",Meta,"Menlo Park, CA",Not Evaluated,13 hours ago,https://www.snagajob.com/jobs/1067198983?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
0,"(USA) Senior, Data Engineer - Full Stack",Sam's Club,"Milpitas, CA",Not Evaluated,16 hours ago,"https://www.ziprecruiter.com/c/Sams-Club/Job/(USA)-Senior,-Data-Engineer-Full-Stack/-in-Milpitas,CA?jid=fe2160f077065379&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","REJECTED: Senior title: '(usa) senior, data engineer - full stack'"
0,Part-Time Data Ingest Engineer (contractor) (Remote),Digital Public Library of America,"Boston, MA",Not Evaluated,19 hours ago,"https://www.ziprecruiter.com/c/Digital-Public-Library-of-America/Job/Part-Time-Data-Ingest-Engineer-(contractor)/-in-Boston,MA?jid=92f7d18d9076262e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",REJECTED: Non-US keyword: 'dublin'
0,Ai/ml developer,Actalent,"Englewood, CO",Not Evaluated,22 hours ago,https://jooble.org/jdp/-1386044325507840772?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'canada'
0,AI and Machine Learning Engineer,RaYnmaker,"Denver, CO",Not Evaluated,17 hours ago,https://jobs.stevenagefc.com/jobs/ai-and-machine-learning-engineer-denver-colorado/2678819287-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
0,Senior Machine Learning Engineer /Op AI/ - TS clearance - Fort Carson/ CO,Pmat,"Fort Carson, CO",Not Evaluated,20 hours ago,https://grabjobs.co/us/job/full-time/others/senior-machine-learning-engineer-op-ai-ts-clearance-fort-carson-co-155579800?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior machine learning engineer /op ai/ - ts clearance - fort carson/ co'
0,AI Data Engineer - Consultant,Deloitte,"Denver, CO",Not Evaluated,23 hours ago,https://jobsus.deloitte.com/denver-co/ai-data-engineer-consultant/3D0BBFCC4A9842209D69F04DCCDC15EA/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'india'
0,"Senior Principal Software Engineer, AI Infrastructure",Oracle,"Denver, CO",Not Evaluated,17 hours ago,https://jobs.stevenagefc.com/jobs/senior-principal-software-engineer-ai-infrastructure-denver-colorado/2678805335-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Senior title: 'senior principal software engineer, ai infrastructure'"
0,Principal Machine Learning Engineer 4 - Full-time,Oracle,"Santa Fe, NM",Not Evaluated,13 hours ago,https://www.snagajob.com/jobs/1189853959?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'principal machine learning engineer 4 - full-time'
0,Senior Engineer - LLMOps & MLOps,Sedgwick,"Cheyenne, WY",Not Evaluated,18 hours ago,https://lensa.com/job-v1/sedgwick/cheyenne-wy/senior-engineer/378c2a22c0bfd4ca5a54e7334954c17c?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior engineer - llmops & mlops'
0,"Principal Applied Scientist, AWS Marketplace & Partner Services","Amazon Web Services, Inc.","Austin, TX",Not Evaluated,18 hours ago,https://www.indeed.com/viewjob?jk=6a1ebb062455d370&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Senior title: 'principal applied scientist, aws marketplace & partner services'"
0,Senior Data or Applied Scientists for Search Relevance Metrics,Microsoft AI,"Redmond, WA",Not Evaluated,9 hours ago,https://www.linkedin.com/jobs/view/senior-data-or-applied-scientists-for-search-relevance-metrics-at-microsoft-ai-4376419165?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior data or applied scientists for search relevance metrics'
0,"Sr. Applied Scientist, Amazon Ads",Amazon.com Services LLC - A57,"Santa Monica, CA",Not Evaluated,18 hours ago,https://www.indeed.com/viewjob?jk=d7c55710a4f4deee&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Senior title: 'sr. applied scientist, amazon ads'"
0,"Sr. Applied Scientist, AWS Healthcare-AI",Amazon.com Services LLC,"Mountain View, CA",Not Evaluated,18 hours ago,https://www.indeed.com/viewjob?jk=7c89488ba3dbd7ec&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Senior title: 'sr. applied scientist, aws healthcare-ai'"
0,Senior Staff Applied Scientist/ Infrastructure DS,Linkedin,"Mountain View, CA",Not Evaluated,16 hours ago,https://grabjobs.co/us/job/full-time/others/senior-staff-applied-scientist-infrastructure-ds-155591805?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'apac'
0,Lead Applied Scientist in Generative AI,Oracle,"Harrisburg, PA",Not Evaluated,11 hours ago,https://jobs.ksnt.com/jobs/lead-applied-scientist-in-generative-ai-harrisburg-pennsylvania/2679244003-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\bat\s+least\s+([3-9]|\d{2,})\s*years?\b'"
0,Analytics Engineer Sr - Remote,Prime Therapeutics,"Salt Lake City, UT",Not Evaluated,22 hours ago,https://virtualjobs.usnlx.com/salt-lake-city-ut/analytics-engineer-sr-remote/C961202727C743B994AE70CC5E619079/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'analytics engineer sr - remote'
0,Analytics Engineer - Remote,Prime Therapeutics,"Jefferson City, MO",Not Evaluated,22 hours ago,https://virtualjobs.usnlx.com/jefferson-city-mo/analytics-engineer-remote/550C041360A049F1BC22C981BEFBCE21/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: No sponsorship
0,Staff Data & Analytics Engineer,GE Aerospace,Pennsylvania,Not Evaluated,18 hours ago,https://lensa.com/job-v1/ge-aerospace/feasterville-trevose-pa/data-analytics-engineer/934da3e1093ccfe69b3318a41af0fe41?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'staff data & analytics engineer'
0,Data & Analytics Cloud Engineering Implementation Manager,Crowe,"Denver, CO",Not Evaluated,4 hours ago,https://www.linkedin.com/jobs/view/data-analytics-cloud-engineering-implementation-manager-at-crowe-4388750087?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'data & analytics cloud engineering implementation manager'
0,AI Analytics Engineer /AI / Analytics Platform/,Airtable,"New York, NY",Not Evaluated,20 hours ago,https://grabjobs.co/us/job/full-time/others/ai-analytics-engineer-ai-and-analytics-platform-155582461?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'australia'
0,AI Data Engineer - Consultant,Deloitte,"Columbus, OH",Not Evaluated,23 hours ago,https://jobsus.deloitte.com/columbus-oh/ai-data-engineer-consultant/D9629192A6E24D5DB96C2D6D5E102D70/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'india'
0,ANALYTICS ENGINEER-REMOTE - Full-time,"Compass Group, North America","Tye, TX",Not Evaluated,19 hours ago,https://www.snagajob.com/jobs/1185792845?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
0,Data Engineer,Jobs via Dice,"Camden, NJ",Not Evaluated,19 hours ago,https://www.linkedin.com/jobs/view/data-engineer-at-jobs-via-dice-4388258913?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Blocked company: 'jobs via dice'
0,Head of Data Engineering,Philo,"San Francisco, CA",Not Evaluated,22 hours ago,"https://www.ziprecruiter.com/c/Philo/Job/Head-of-Data-Engineering/-in-San-Francisco,CA?jid=0ddfa9f9b79396a1&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",REJECTED: Non-US keyword: 'apac'
0,Senior Software Engineer - Machine Learning & AI (ADAS),Subaru of America,"Belleville, MI",Not Evaluated,14 hours ago,https://www.linkedin.com/jobs/view/senior-software-engineer-machine-learning-ai-adas-at-subaru-of-america-4388722496?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'japan'
0,"Machine Learning - Compiler Engineer II, AWS Neuron, Annapurna Labs","Amazon Web Services, Inc. - A97","Seattle, WA",Not Evaluated,18 hours ago,https://www.indeed.com/viewjob?jk=ae44a352f5b32856&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
0,Lead AI Engineer /Gen AI Platform/ Agentic AI / LLM Infrastructure / Orchestration/,Capital One,"San Francisco, CA",Not Evaluated,24 hours ago,https://grabjobs.co/us/job/full-time/others/lead-ai-engineer-gen-ai-platform-agentic-ai-and-llm-infrastructure-and-orchestration-155565126?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'united kingdom'
0,"AI/ML Engineer, Software Development - Noke","Janus International Group, LLC","Vinings, GA",Not Evaluated,18 hours ago,https://www.adzuna.com/details/5674302574?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
0,Senior Engineer - LLMOps & MLOps,Sedgwick,"Erie, PA",Not Evaluated,18 hours ago,https://lensa.com/job-v1/sedgwick/erie-pa/senior-engineer/dfe0483157298568b81a7602f344bf2b?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior engineer - llmops & mlops'
0,R&D Senior LLM Engineer,The New York Times,"New York, NY",Not Evaluated,18 hours ago,https://us.trabajo.org/job-4023-e87de200c2dacec9eac71a0334fbb211?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'r&d senior llm engineer'
0,Staff Computer Vision Engineer - Full-time,iMETALX,"Sausalito, CA",Not Evaluated,13 hours ago,https://www.snagajob.com/jobs/1204850161?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'staff computer vision engineer - full-time'
0,"Tools and Automation Engineer, Vision Products Software",Apple,"Sunnyvale, CA",Not Evaluated,19 hours ago,"https://www.ziprecruiter.com/c/Apple/Job/Tools-and-Automation-Engineer,-Vision-Products-Software/-in-Sunnyvale,CA?jid=98f6585f52f413e3&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",SKIPPED: Low skill match (1)
0,Senior Robotic Ai-Perception Engineer,Optimal Inc.,"Center Line, MI",Not Evaluated,10 hours ago,https://www.adzuna.com/details/5674544292?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior robotic ai-perception engineer'
0,Senior Machine Learning Engineer - Studio Media Algorithms,Netflix,"Los Gatos, CA",Not Evaluated,18 hours ago,https://jobs.stevenagefc.com/jobs/senior-machine-learning-engineer-studio-media-algorithms-los-gatos-california/2678737824-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior machine learning engineer - studio media algorithms'
0,AI Research Scientist - Superintelligence Labs,Meta,"San Francisco, CA",Not Evaluated,22 hours ago,https://jobs.stevenagefc.com/jobs/ai-research-scientist-superintelligence-labs-san-francisco-california/2678477307-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\bat\s+least\s+([3-9]|\d{2,})\s*years?\b'"
0,Generative AI Research Scientist,Phota Labs,"San Jose, CA",Not Evaluated,15 hours ago,https://echojobs.io/job/phota-labs-genai-research-scientist-engineer-z31dv?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'outside the us'
0,Research Scientist / Research Engineer  Early Career Cohort,OpenAI,"San Francisco, CA",Not Evaluated,22 hours ago,https://grabjobs.co/us/job/internship/others/research-scientist-research-engineer-early-career-cohort-155577300?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,SKIPPED: Low skill match (1)
0,PhD Engineer  AI Assessment Specialist,Mercor,"San Francisco, CA",Not Evaluated,13 hours ago,https://grabjobs.co/us/job/full-time/others/phd-engineer-ai-assessment-specialist-155599293?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,SKIPPED: Low skill match (1)
0,Content Writer Editor Ai Research- Remote,YO IT Consulting,"Dallas, TX",Not Evaluated,43 minutes ago,https://www.linkedin.com/jobs/view/content-writer-editor-ai-research-remote-at-yo-it-consulting-4388621421?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,SKIPPED: Low skill match (1)
0,Engineer/ AI Dev Tools,Medical Information Technology,"Minnetrista, MN",Not Evaluated,23 hours ago,https://grabjobs.co/us/job/full-time/others/engineer-ai-dev-tools-155574609?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
0,Machine Learning Researcher / Engineer (Foundational Models) - Full-time,Pathway,Anywhere,Not Evaluated,13 hours ago,https://www.snagajob.com/jobs/1139942141?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Non-US keyword: 'canada'
